"DnsServer","HostName","RecordType","Timestamp"
"DC01","@","A","5/11/2026 4:00:00 PM"
"DC01","@","A","5/11/2026 5:00:00 PM"
"DC01","@","NS",
"DC01","@","NS",
"DC01","@","SOA",
"DC01","_msdcs","NS",
"DC01","_gc._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"DC01","_gc._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"DC01","_kerberos._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"DC01","_kerberos._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"DC01","_ldap._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"DC01","_ldap._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"DC01","_gc._tcp","SRV","5/12/2026 12:00:00 PM"
"DC01","_gc._tcp","SRV","5/11/2026 5:00:00 PM"
"DC01","_kerberos._tcp","SRV","5/11/2026 5:00:00 PM"
"DC01","_kerberos._tcp","SRV","5/11/2026 4:00:00 PM"
"DC01","_kpasswd._tcp","SRV","5/11/2026 5:00:00 PM"
"DC01","_kpasswd._tcp","SRV","5/11/2026 4:00:00 PM"
"DC01","_ldap._tcp","SRV","5/11/2026 5:00:00 PM"
"DC01","_ldap._tcp","SRV","5/11/2026 4:00:00 PM"
"DC01","_kerberos._udp","SRV","5/11/2026 5:00:00 PM"
"DC01","_kerberos._udp","SRV","5/11/2026 4:00:00 PM"
"DC01","_kpasswd._udp","SRV","5/11/2026 5:00:00 PM"
"DC01","_kpasswd._udp","SRV","5/11/2026 4:00:00 PM"
"DC01","dc01","A",
"DC01","DC02","A",
"DC01","DomainDnsZones","A","5/11/2026 5:00:00 PM"
"DC01","DomainDnsZones","A","5/11/2026 4:00:00 PM"
"DC01","_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","SRV","5/11/2026 4:00:00 PM"
"DC01","_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","SRV","5/11/2026 5:00:00 PM"
"DC01","_ldap._tcp.DomainDnsZones","SRV","5/11/2026 5:00:00 PM"
"DC01","_ldap._tcp.DomainDnsZones","SRV","5/11/2026 4:00:00 PM"
"DC01","ForestDnsZones","A","5/11/2026 5:00:00 PM"
"DC01","ForestDnsZones","A","5/11/2026 4:00:00 PM"
"DC01","_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","SRV","5/11/2026 4:00:00 PM"
"DC01","_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","SRV","5/11/2026 5:00:00 PM"
"DC01","_ldap._tcp.ForestDnsZones","SRV","5/11/2026 5:00:00 PM"
"DC01","_ldap._tcp.ForestDnsZones","SRV","5/11/2026 4:00:00 PM"
"DC01","MGMT01","A","5/11/2026 6:00:00 PM"
